2020-09-10 02:16:13,370 - 00_train.py - 00_train.py - 100 - INFO - TARGET MACHINE_TYPE: fan
2020-09-10 02:16:13,379 - 00_train.py - 00_train.py - 101 - INFO - MAKE DATA_LOADER
2020-09-10 02:17:39,201 - 00_train.py - 00_train.py - 108 - INFO - TRAINING
2020-09-10 03:48:15,993 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 50/100:train_score:9.688790, valid_score:9.765192
2020-09-10 03:48:48,160 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 51/100:train_score:9.687744, valid_score:9.763562
2020-09-10 03:49:21,084 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 52/100:train_score:9.683393, valid_score:9.753468
2020-09-10 03:49:53,725 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 53/100:train_score:9.682551, valid_score:9.737008
2020-09-10 03:50:26,617 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 54/100:train_score:9.681051, valid_score:9.766049
2020-09-10 03:50:59,381 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 55/100:train_score:9.679508, valid_score:9.753261
2020-09-10 03:51:31,727 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 56/100:train_score:9.677328, valid_score:9.736991
2020-09-10 03:52:04,463 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 57/100:train_score:9.675545, valid_score:9.775913
2020-09-10 03:52:37,210 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 58/100:train_score:9.675494, valid_score:9.771798
2020-09-10 03:53:10,133 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 59/100:train_score:9.673551, valid_score:9.747840
2020-09-10 03:53:42,555 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 60/100:train_score:9.670867, valid_score:9.774992
2020-09-10 03:54:15,259 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 61/100:train_score:9.670792, valid_score:9.751407
2020-09-10 03:54:48,143 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 62/100:train_score:9.670800, valid_score:9.738662
2020-09-10 03:55:21,124 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 63/100:train_score:9.667611, valid_score:9.729590
2020-09-10 03:55:54,038 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 64/100:train_score:9.667317, valid_score:9.747297
2020-09-10 03:56:25,928 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 65/100:train_score:9.664894, valid_score:9.750526
2020-09-10 03:56:57,991 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 66/100:train_score:9.665167, valid_score:9.802202
2020-09-10 03:57:30,981 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 67/100:train_score:9.664198, valid_score:9.734495
2020-09-10 03:58:03,843 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 68/100:train_score:9.661289, valid_score:9.748432
2020-09-10 03:58:36,747 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 69/100:train_score:9.661024, valid_score:9.761435
2020-09-10 03:59:09,902 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 70/100:train_score:9.659039, valid_score:9.736548
2020-09-10 03:59:43,005 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 71/100:train_score:9.659766, valid_score:9.738400
